,0,1
923,behaldar,beholder
924,kjerald,kjørel
925,rekning,bekostning
926,kostnad,omkostning
927,plassering,beliggenhet
928,bein,ben
929,vik,avvik
930,røyr,rør
931,røyr,rør
932,avløpsrøyr,avløpsrør
933,avtrekksrøyr,avtrekksrør
934,bambusrøyr,bambusrør
935,betongrøyr,betongrør
936,bilderøyr,bilderør
937,blåserøyr,blåserør
938,borerøyr,borerør
939,brannrøyr,brannrør
940,dreneringsrøyr,dreneringsrør
941,drensrøyr,drensrør
942,eksosrøyr,eksosrør
943,elektronrøyr,elektronrør
944,gassrøyr,gassrør
945,grøfterøyr,grøfterør
946,hørerøyr,hørerør
947,hårrøyr,hårrør
948,innsugingsrøyr,innsugingsrør
949,kapillarrøyr,kapillarrør
950,kloakkrøyr,kloakkrør
951,klyssrøyr,klyssrør
952,luftrøyr,luftrør
953,lysrøyr,lysrør
954,lysstoffrøyr,lysstoffrør
955,matrøyr,matrør
956,neonrøyr,neonrør
957,omnsrøyr,omnsrør
958,overløpsrøyr,overløpsrør
959,prøverøyr,prøverør
960,radiorøyr,radiorør
961,reagensrøyr,reagensrør
962,soilrøyr,soilrør
963,spanskrøyr,spanskrør
964,stålrøyr,stålrør
965,sugerøyr,sugerør
966,sukkerrøyr,sukkerrør
967,takrøyr,takrør
968,talerøyr,talerør
969,telefonrøyr,telefonrør
970,tennrøyr,tennrør
971,urinrøyr,urinrør
972,vakuumrøyr,vakuumrør
973,vassrøyr,vassrør
974,vektrøyr,vektrør
975,skotår,skuddår
976,kompan,kumpe
977,arrestasjon,pågripelse
978,bakbein,bakben
979,belastningssjukdom,belastningssykdom
980,belastingssjukdom,belastningssykdom
981,bibliotekskule,bibliotekskole
982,bidragsytar,bidragsyter
983,tenesteytar,tjenesteyter
984,skatteytar,skatteyter
985,bomskot,bomskudd
986,brotstyrke,brottstyrke
987,brurevigsel,brurevielse
988,djupål,dypål
989,eigar,eier
990,huseigar,huseier
991,hundeeigar,hundeeier
992,farvatn,farvann
993,formalvitskap,formalvitenskap
994,minne,hukommelse
995,forståing,forståelse
996,tilståing,tilståelse
997,forsynd,fortom
998,fortaum,fortom
999,frammøte,fremmøte
1000,følgjekonjunksjon,følgekonjunksjon
1001,gardkjøp,gårdkjøp
1002,golvbjelke,gulvbjelke
1003,grønkål,grønnkål
1004,gut,gutt
1005,hamnekontor,havnekontor
1006,heimekontor,hjemmekontor
1007,handbibliotek,håndbibliotek
1008,framandhat,fremmedhat
1009,haust,høst
1010,raudehav,rødehav
1011,heilbind,helbind
1012,heim,hjem
1013,heimby,hjemby
1014,hovud,hode
1015,bakhovud,bakhode
1016,høgvatn,høyvann
1017,informasjonsvitskap,informasjonsvitenskap
1018,innarikspolitikk,innenrikspolitikk
1019,laurdag,lørdag
1020,løysing,løsning
1021,meining,mening
1022,morgon,morgen
1023,månad,måned
1024,namn,navn
1025,filnamn,filnavn
1026,årsoppgåve,årsoppgave
1027,oppgåve,oppgave
1028,dåpsgåve,dåpsgave
1029,minnegåve,minnegave
1030,folkegåve,folkegave
1031,gravgåve,gravgave
1032,hatgåve,hatgave
1033,julegåve,julegave
1034,kalendergåve,kalendergave
1035,mandelgåve,mandelgave
1036,morgongåve,morgengave
1037,votivgåve,votivgave
1038,vertinnegåve,vertinnegave
1039,bryllaupsgåve,bryllupsgave
1040,bursdagsgåve,bursdagsgave
1041,avskjedsgåve,avskjedsgave
1042,heidersgåve,hedersgave
1043,pengegåve,pengegave
1044,velkomstgåve,velkomstgave
1045,konfirmasjonsgåve,konfirmasjonsgave
1046,russar,russer
1047,sal,salg
1048,samanheng,sammenheng
1049,framside,forside
1050,snakkety,snakketøy
1051,snarveg,snarvei
1052,hovudveg,hovedveg
1053,hovudveg,hovedvei
1054,sneisegl,sneiseil
1055,snø,sne
1056,snøball,sneball
1057,snøbrett,snebrett
1058,snøfall,snefall
1059,snøfokk,snefokk
1060,sodavatn,sodavann
1061,sokkeleist,sokkelest
1062,soknebarn,sognebarn
1063,sokneprest,sogneprest
1064,sommar,sommer
1065,forsommar,forsommer
1066,soyamjøl,soyamel
1067,spermasettkval,spermasetthval
1068,spermasettkval,spermasetthval
1069,spermkval,spermhval
1070,spermkval,spermhval
1071,sperreeld,sperreild
1072,spesialskule,spesialskole
1073,spillvatn,spillvann
