,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013081305010,"Wright, Sally Ann",Hvor kommer alle babyene fra?,cop. 2006,,nob,2006,,,
2013081506101,"Stokholm, Steen",AC Milan,cop. 2010,,nob,2010,,,
2013082008085,"Ersland, Bjørn Arild",Pølseidioten,2011,,nob,2011,,,
2013082008133,"Samzelius, Maj",Stjernene forteller,2012,"gresk, greske, guder, mytologi, stjernebilder",nob,2012,,,
2013082106002,"Bringsværd, Tor Åge",Karsten og Petra er bestevenner,2009,,nob,2009,,,
2013082206056,"Broomé, Elisabet",Lillebror i barnehagen,2007,"barnehagen, billedbøker, søsken",nob,2007,,,
2013082305048,"Faldbakken, Knut",Sirkus Baldemar,2007,"barnebøker, ferie, fortellinger, kosedyr",nob,2007,,,
2013082708131,"Spilsbury, Louise",Det er godt å være meg! :,cop. 2012,,nob,2012,øk selvtilliten og finn din indre superhelt!,,
2013082908070,"Venaasen, Trond Morten K.",Elleville Elfrid og den stolte andungen,2011,"billedbøker, litteratur, norsk",nob,2011,,,
2013083008219,"Simon, Francesca",Rampete Robin lager stinkbombe,2006,,nob,2006,,,
2013091306019,"Löfgren, Ulf",Ludde har vaskedag,2008,"billedbøker, hjelpsomhet, klær",nob,2008,,,
2013091306037,"Ende, Michael","Momo, eller Kampen om tiden",2008,,nob,2008,,,
2013091706040,"Brænne, Kaia",Uvenner,c2008,"billedbøker, dyr, humor, konflikter, vennskap",nob,2008,,,
2013091838042,"Tison, Annette",Barbapapas nye hus,2006,,nob,2006,,,
2013091905136,"Shepard, Sara",Perfekt,2011,,nob,2011,,,
2013092506134,"Vidnes-Kopperud, Bodil",Nilsen og vottene,2011,"bildebøker, biletbøker, billedbøker, kle, klær, vinter",nob,2011,,,
2013092506175,"Karlstrom, Diane",Nulltoleranse,2010,,nob,2010,,,
2013092508016,"Estes, Max",Alfabetfesten,2011,"alfabetet, barnelitteratur, bildebøker, billedbøker, bokstaver, norsk",nob,2011,,,
2013092606011,"Jensen, Jørn",Slank eller tynn?,cop. 2010,,nno,2010,,,
2013092606049,"Aspeli, Widar",Streifskudd,2005,,nob,2005,,,
2013092606079,"Sommer-Bodenburg, Angela",,2011,,nob,2011,,,
2013092706015,"Ross, Tony",Jeg vil bli-,cop. 2009,,nob,2009,,,
2013093006004,"Joyce, Melanie",Eventyr for 6-åringer,2011,,nob,2011,,,
2013100106036,"Gravklev, Marit",Frøken Betula :,[2005?],"barnebok, bjørk, bjørkeskog, skog, trær",nob,2005,historien om bjørka,,
2013100738013,"James, Bethan",Mine bibelfortellinger,cop. 2012,"barn, bibelen",nob,2012,,,
2013100805029,"Geffenblad, Lotta",Prikk og Flekk tanntryllar,2007,"barn, bildebøker, biletbøker, skjønnlitteratur, tannpussing",nno,2007,,,
2013100806051,"Brænne, Trond",Bestefar er en rev,2009,"besteforeldre, billedbøker, døden, jul, nisser, sorg",nob,2009,,,
2013101506021,"Meadows, Daisy",,2009,,nob,2009,,,
2013101706015,"Trohaug, Ragnfrid",Vi vil ha hund!,2012,"barnebøker, hund, hunder, lettlest, tvillinger",nno,2012,,,
2013101706018,"Hellstenius, Axel",Mens Blücher sank,2009,"blücher, drøbak, krig, norge, overgrep, ungdomsbøker",nob,2009,,,
2013102108055,"Kjær, Jan",Lysets festning ; Den siste kampen,cop. 2007,,nob,2007,,,
2013102406042,"Mohn, Therese",Gitte tar sats,2010,,nob,2010,,,
2013102406102,"Masannek, Joachim","Juli, firerbanden",[2006],,nob,2006,,,
2013102505065,"Keene, Carolyn",Frøken Detektiv :,2009,,nob,2009,stjålne smaragder,,
2013102806093,"Ross, Tony",Jeg vil ikke legge meg!,cop. 2007,"barn, billedbøker, leggetid, trass",nob,2007,,,
2013102905008,"Kjær, Jan",,2009,,nob,2009,,Menneskejegeren,
