,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-3-a,245-1-0-b,245-1-3-b
2015042108226.0,"Klepp, Anneli",Sommer-overraskelser,2014,"barnebøker, døtre, fedre, ferie, lettlest, litteratur, norsk, skilsmissebarn",nob,2014.0,,,
2015042108240.0,"Brown, Aleksander R. Kirkwood",Ønskebrønnen,2014,"barnebøker, grøssere, litteratur, mysterier, norsk, spenning, spenningsromaner",nob,2014.0,,,
2015042348083.0,"Nassar, Salah",Zainab må flykte,2013,"barnebøker, bildebøker, billedbøker, flyktninger, litteratur, norsk",nob,2013.0,,,
2015042348091.0,"With, Wenche.",Monsterkokkene lager hai-te,2014,"barnebøker, bildebøker, biletbøker, billedbøker, monstre, mørkeredsel",nob,2014.0,,,
2015091006003.0,"Punter, Russell.",,2015,"barnebøker, katter, lettlest",nno,2015.0,,,
2015091506024.0,"Markhus, Vegard",Epleslang,2015,"barnebøker, barnelitteratur, lettlest, norsk",nno,2015.0,,,
2016020907598.0,"Nordberg, Harald",Robins reise,2010,"barnebøker, biletbøker, billedbøker, eventyrskikkelser, fantasi, fantasireiser",nob,2010.0,,,
2016022308133.0,"Mæhle, Lars",Knoterud FK :,2013,"barnebøker, fotball, lettlesingsbøker, lettlest",nob,2013.0,,Solskjærs rose,
2018013048210.0,"Fleischer, Anne Vibeke.",For alltid og aldri mer :,2014,"avskjed, barn, barnebøker, død, døden, dødsfall, flytting, fortellinger, følelser, narrativer, psykologi, skilsmisse, sorg, sykdom, tap, ungdom",nob,2014.0,,William og Anna sørger,
2018020148157.0,"Stranger, Simon",Bestefar på rømmen,2015,"alzheimers, barnebarn, barnebøker, barnelitteratur, besteforeldre, billedbøker, demens, norsk, sykdom",nob,2015.0,,,
2018020248270.0,"Fiske, Anna",Mens vi venter på nissen,2013,"advent, barn, barnebøker, dekorasjoner, forming, hobbybøker, jul, julepynt",nob,2013.0,,,
2018021248060.0,"From, Käte",Jeg tør ikke :,2015,"angst, barn, barnebøker, barnehagen, foreldre, intervensjon, mestring, panikk, panikkangst, psykologi, skolen, sosial",nob,2015.0,,Line og Hamid engster seg,
2018030107016.0,"Sortland, Bjørn",Mexico City-mysteriet,2012,"barn, barnebøker, bøker, krim, kriminalfortellinger, kunst, lettleste, mexico, spenningslitteratur",nob,2012.0,,,
2018042348630.0,"Svingen, Arne",,2012,"barnebøker, grøsser",nob,2012.0,En glefsende kjeft,,
2018050748567.0,"Egeland, Tom",Mumiens mysterium,cop. 2015,"barnebøker, krim, litteratur, norsk, romaner, spenning, ungdomsbøker",nob,2015.0,,,
2018051448241.0,"From, Käte",Tenk hvis? :,2015,"OCD, PTSD, angst, barn, barnebøker, fobier, generalisert, helseangst, intervensjon, mestring, panikk, panikkangst, posttraumatisk stresslidelse, separasjonsangst, skolen, sosial, sosial, sosial fobi, sykdomsangst, tvangslidelse, tvangstanker",nob,2015.0,,Sigrid og Erik engster seg,
2018060748074.0,"Palacio, R.J.",Mirakel,2013,"amerikansk, annerledeshet, barnebøker, barnelitteratur, fortellinger, misdannelser, skjønnlitteratur, skolen, sykdommer, ungdomsbøker, utseende",nob,2013.0,,,
2018060807068.0,"Everest, D.D..",Archie Greene og det magiske museet,2015,"barnebøker, fantastisk, fantasy, magi, spenning, trolldom, ungdomsbøker",nob,2015.0,,,
2018060807098.0,"Viken, Anne",Elise og mysteriet på hesteklinikken :,2013,"barnebøker, hestar, hester, litteratur, norsk, norske, romaner, spenning, ungdom, ungdomsbøker",nno,2013.0,,roman,
2018060807136.0,"Engholm, Bengt-Erik",Skjeletter,2014,"barnebøker, kroppen, lettlest",nob,2014.0,,,
2018060807181.0,"Karrebæk, Dorte",Frida F,2014,"barnebøker, leseland, lettlest",nno,2014.0,,,
2018061207013.0,"Hivand, Aino",Atrata,2014,"barnebøker, bildebøker, billedbøker, biller, mobbing, sørsamisk",mul,2014.0,,,
2018061207035.0,"Osland, Erna",Når det regnar i Afrika :,2015,"barnebøker, klima, klimaendringer, meteorologi, vêr, vær, værvarslinger",nno,2015.0,,ei bok om vêr og klimaendringar,
2018061207146.0,"Nilsson, Birgitta",Fikenvulkanen,2014,"Kapp Verde, barnebøker, høytlesingsbøker, identitet, nysgjerrighet, vulkaner",nob,2014.0,,,
2018061207224.0,"Svingen, Arne",Spøkelseshotellet,2012,"barnebøker, grøsser",nob,2012.0,,,
2018061207515.0,"Holmberg, Veikko",Durrebjørnen og skuterløypa,2014,"barnebøker, politikk, tvangsflytting, urfolk",nob,2014.0,,,
2018061207587.0,"Dahl, Tor Edvin",Tyskerne kommer,2013,"2.verdenskrig, barnebøker, historie, krig, norge, spenning, ungdomsbøker",nob,2013.0,,,
2018061207595.0,"Nadin, Joanna",Krise-Kristine knuser rekorder,2015,"barnebøker, barnelitteratur, humor",nob,2015.0,,,
2018061207629.0,"Mathisen, Marja T.",Tenketanker,2012,"barn, barnebøker, foreldre, voksne",nob,2012.0,,,
2018061307608.0,"Svingen, Arne",Fluesommer,2013,"barnebøker, barnelitteratur, familievald, familievold, litteratur, norsk, vennskap",nob,2013.0,,,
2018061407533.0,"Nørvåg, Tone",Politihunden Falk på nattevakt,2012,"barnebøker, hunder, lettlest, politi, politihunder",nno,2012.0,,,
2018061807027.0,"Bratlund, Bente",Alt kjekt kan skje,2014,"barnebøker, barnelitteratur, forelskelse, norsk",nno,2014.0,,,
2018061807560.0,"Widmark, Martin",Brannmysteriet,2015,"barnebøker, barnelitteratur, krim, svensk",nob,2015.0,,,
2018061807562.0,"Kahrs, Julia",Øst for Dunkelpiggen,2012,"barnebøker, ekspedisjon, friluftsliv, naturvern",nob,2012.0,,,
