,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
la,11.0,,,5.0,5.0,,,,6.0,,7.0,8.0,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,1.0,4.0,,,,
stakk,34.0,4.0,,3.0,6.0,,,,8.0,1.0,28.0,5.0,3.0,2.0,2.0,3.0,,,3.0,1.0,,4.0,8.0,,,2.0,,,2.0,4.0,,1.0,3.0,,2.0,,
strittet,39.0,,,,,,,,,,1.0,1.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
svart,21.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
tidlig,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
under,36.0,2.0,3.0,230.0,73.0,6.0,,1.0,58.0,10.0,333.0,16.0,14.0,9.0,10.0,34.0,20.0,,59.0,17.0,3.0,32.0,14.0,2.0,1.0,,,1.0,1.0,33.0,7.0,108.0,225.0,2.0,37.0,,
velter,4.0,,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,2.0,,,
krøyp,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
100,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Det,6.0,,,2.0,9.0,2.0,,,3.0,,4.0,2.0,1.0,,,4.0,2.0,,1.0,,,,,,,,,,,,1.0,1.0,3.0,,,,
beveget,7.0,,,5.0,18.0,5.0,1.0,,2.0,,9.0,2.0,1.0,,2.0,2.0,5.0,,8.0,,,,,,,,,,,,,1.0,8.0,,,,
bølger,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digert,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falt,59.0,,,1.0,12.0,,1.0,,2.0,,22.0,,,,3.0,,,,,,,,,,,,,,,,,4.0,,,3.0,,
far,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fett,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
